Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/1/1,3134967.868
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/2/1,3125925.0997620095
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/3/1,3079722.20775642
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/4/1,3111307.01994674
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/5/1,3121640.2610581294
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/6/1,3132890.94428708
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/7/1,3175529.57847756
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/8/1,3185741.0473576295
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/9/1,3163405.4723116
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/10/1,3148891.68759846
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/11/1,3199686.22344924
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/12/1,3238782.37143371
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/1/1,3232949.7605531495
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/2/1,3227245.91756429
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/3/1,3191634.6298325
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/4/1,3220011.82696784
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/5/1,3243778.69563898
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/6/1,3235723.81319699
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/7/1,3257656.75848476
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/8/1,3295312.46211408
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/9/1,3264064.26110895
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/10/1,3281736.3474022094
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/11/1,3286139.7658345895
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/12/1,3313920.33062885
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/1/1,3285770.43665788
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/2/1,3278104.54653823
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/3/1,3251625.7770107
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/4/1,3182038.7253764
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/5/1,3190404.2495826
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/6/1,3133187.68327234
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/7/1,3165993.70876725
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/8/1,3116343.16
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/9/1,3089365.6205065
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/10/1,3113218.61193976
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/11/1,3178709.03740592
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/12/1,3189689.10881378
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/1/1,3247415.1921716
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/2/1,3195596.16328912
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/3/1,3247256.61966566
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/4/1,3268238.79136729
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/5/1,3239253.45951898
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/6/1,3254813.12287221
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/7/1,3265263.5798248
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/8/1,3222723.0595268295
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/9/1,3176997.44866201
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/10/1,3163119.2476674095
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/11/1,3234727.83368865
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/12/1,3301319.72751898
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/1/1,3282504.85198917
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/2/1,3289057.62056344
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/3/1,3308705.39678177
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/4/1,3263670.21269403
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/5/1,3295323.20777579
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/6/1,3285272.785
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/7/1,3319868.86211514
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/8/1,3352918.46865641
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/9/1,3381380.83628322
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/10/1,3324874.8773351894
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/11/1,3328994.42805694
China,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/12/1,3264803.86973912
