Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/1,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/2,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/3,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/4,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/5,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/6,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/7,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/8,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/9,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/10,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/11,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/12,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/13,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/14,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/15,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/16,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/17,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/18,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/19,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/20,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/21,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/22,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/23,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/24,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/25,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/26,0
Eurozone,Interest Rate,ECB Main Refinancing Rate,Daily,Percentage (%),2020/1/27,0
