Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/1/1,846926
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/2/1,864927
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/3/1,866309
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/4/1,909932
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/5/1,895881
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/6/1,904958
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/7/1,923094
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/8/1,914976
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/9/1,909520
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/10/1,915533
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/11/1,860302
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/12/1,879737
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/1/1,880175
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/2/1,848531
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/3/1,849432
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/4/1,852081
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/5/1,885410
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/6/1,869045
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/7/1,888494
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/8/1,1009405
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/9/1,1002399
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/10/1,1019527
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/11/1,1045365
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/12/1,1057044
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/1/1,1056890
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/2/1,1091969
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/3/1,1102817
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/4/1,1144218
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/5/1,1108246
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/6/1,1122091
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/7/1,1129179
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/8/1,1130624
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/9/1,1135791
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/10/1,1111890
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/11/1,1115120
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/12/1,1114269
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/1/1,1125355
Eurozone,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/2/1,1096091
