Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/1/1,1301939.80674899
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/2/1,1318087.86372931
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/3/1,1325252.22666024
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/4/1,1323901.71682137
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/5/1,1332801.15149282
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/6/1,1336144.67662624
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/7/1,1350518.31763368
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/8/1,1346730.20810625
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/9/1,1339755.69229297
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/10/1,1334464.32818085
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/11/1,1337596.48000086
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2020/12/1,1344283.26456579
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/1/1,1342338.1918903
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/2/1,1332672.62129747
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/3/1,1318667.41623525
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/4/1,1326538.21051143
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/5/1,1331958.35930171
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/6/1,1324702.35380584
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/7/1,1333027.04358182
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/8/1,1371116.31518784
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/9/1,1358141.20878488
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/10/1,1352621.7099221
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/11/1,1356676.61136886
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2021/12/1,1356244.3084257
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/1/1,1337102.90240263
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/2/1,1332627.11218469
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/3/1,1303245.90493931
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/4/1,1270206.57821826
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/5/1,1279639.89133155
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/6/1,1261832.3178576
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/7/1,1275342.15585904
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/8/1,1245400.12059039
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/9/1,1192584.02683909
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/10/1,1149985.32513651
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/11/1,1178636.98509101
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2022/12/1,1178279.37146245
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/1/1,1197897.57161447
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/2/1,1176415.6631197
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/3/1,1203213.34288581
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/4/1,1211485.27851145
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/5/1,1201091.33506523
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/6/1,1195165.28695676
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/7/1,1200070.46399789
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/8/1,1198341.38055068
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/9/1,1186370.15406393
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/10/1,1183683.37329491
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/11/1,1214344.2102911
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2023/12/1,1238541.06344621
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/1/1,1235945.27645905
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/2/1,1225778.80943739
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/3/1,1230377.1355098
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/4/1,1216227.94337121
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/5/1,1167701.97725895
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/6/1,1168095.82747018
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/7/1,1153084.38114412
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/8/1,1167387.73306644
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/9/1,1183364.81265658
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/10/1,1164583.78217395
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/11/1,1166892.4381609
Japan,Foreign Exchange Reserve,,Monthly,100 Million USD,2024/12/1,1159702.3790689
