Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/1/1,-0.032
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/2/1,-0.016
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/3/1,-0.047
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/4/1,-0.036
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/5/1,-0.047
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/6/1,-0.048
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/7/1,-0.028
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/8/1,-0.035
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/9/1,-0.054
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/10/1,-0.02
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/11/1,-0.032
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2020/12/1,-0.026
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/1/1,-0.017
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/2/1,-0.016
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/3/1,-0.017
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/4/1,-0.012
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/5/1,-0.017
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/6/1,-0.029
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/7/1,-0.036
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/8/1,-0.034
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/9/1,-0.022
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/10/1,-0.027
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/11/1,-0.039
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2021/12/1,-0.026
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/1/1,-0.02
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/2/1,-0.018
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/3/1,-0.008
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/4/1,-0.012
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/5/1,-0.018
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/6/1,-0.038
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/7/1,-0.012
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/8/1,-0.018
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/9/1,-0.049
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/10/1,-0.05
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/11/1,-0.067
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2022/12/1,-0.07
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/1/1,-0.02
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/2/1,-0.019
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/3/1,-0.017
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/4/1,-0.015
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/5/1,-0.051
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/6/1,-0.066
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/7/1,-0.046
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/8/1,-0.064
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/9/1,-0.054
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/10/1,-0.02
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/11/1,-0.015
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2023/12/1,-0.012
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/1/1,-0.014
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/2/1,-0.006
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/3/1,0.0219999999999999
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/4/1,0.0769999999999999
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/5/1,0.0769999999999999
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/6/1,0.0769999999999999
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/7/1,0.0779999999999999
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/8/1,0.2269999999999998
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/9/1,0.2269999999999998
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/10/1,0.2269999999999998
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/11/1,0.2269999999999998
Japan,Interest Rate,Short-Term Interest Rate,Monthly,Percentage (%),2024/12/1,0.2269999999999998
