Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/1/1,153576.134878052
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/2/1,150949.431397431
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/3/1,154166.576163856
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/4/1,156418.086866867
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/5/1,157193.081759707
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/6/1,155407.540026542
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/7/1,158234.044397862
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/8/1,157126.048980444
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/9/1,150461.370877343
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/10/1,153225.958963514
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/11/1,161108.143201823
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/12/1,161188.410120185
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/1/1,154989.456246086
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/2/1,153876.66759511
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/3/1,154220.474663911
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/4/1,154415.134440787
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/5/1,152301.905167645
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/6/1,149929.821627598
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/7/1,151378.810768585
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/8/1,174061.397625754
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/9/1,175878.798003056
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/10/1,174753.479796724
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/11/1,175058.294888743
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/12/1,176024.004961702
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/1/1,168394.734590176
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/2/1,169052.580929296
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/3/1,171196.649348115
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/4/1,161830.050414685
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/5/1,159669.577956886
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/6/1,156970.587848744
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/7/1,154458.487457606
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/8/1,153637.234053767
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/9/1,143168.419872657
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/10/1,147883.951063842
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/11/1,155708.311898185
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/12/1,158329.888611581
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/1/1,157178.426346746
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/2/1,150887.549918124
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/3/1,153635.179866158
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/4/1,155736.027271694
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/5/1,151735.733463413
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/6/1,154203.902263756
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/7/1,158791.92242353
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/8/1,157474.646905291
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/9/1,151702.348915826
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/10/1,151405.668687485
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/11/1,154558.623754431
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/12/1,157340.769137404
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/1/1,153809.638860369
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/2/1,152818.443347572
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/3/1,153682.722633046
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/4/1,147978.210397509
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/5/1,151761.359534591
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/6/1,149466.124302346
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/7/1,152868.164714553
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/8/1,155334.369659826
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/9/1,154515.2863
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/10/1,150987.838326147
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/11/1,151038.613797078
UK,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/12/1,148569.354566836
