Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/1/1,1.55
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/2/1,1.58
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/3/1,0.65
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/4/1,0.05
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/5/1,0.05
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/6/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/7/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/8/1,0.1
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/9/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/10/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/11/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2020/12/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/1/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/2/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/3/1,0.07
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/4/1,0.07
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/5/1,0.06
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/6/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/7/1,0.1
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/8/1,0.09
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/9/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/10/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/11/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2021/12/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/1/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/2/1,0.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/3/1,0.2
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/4/1,0.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/5/1,0.77
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/6/1,1.21
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/7/1,1.68
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/8/1,2.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/9/1,2.56
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/10/1,3.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/11/1,3.78
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2022/12/1,4.1
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/1/1,4.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/2/1,4.57
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/3/1,4.65
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/4/1,4.83
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/5/1,5.06
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/6/1,5.08
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/7/1,5.12
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/8/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/9/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/10/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/11/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2023/12/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/1/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/2/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/3/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/4/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/5/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/6/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/7/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/8/1,5.33
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/9/1,5.13
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/10/1,4.83
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/11/1,4.64
US,Interest Rate,Fed Funds Target Rate,Monthly,Percentage (%),2024/12/1,4.48
