Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/1/1,117826.023393531
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/2/1,117384.220984502
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/3/1,116868.993438146
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/4/1,117760.5002
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/5/1,121197.56266089
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/6/1,122848.971376964
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/7/1,128930.385113282
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/8/1,129346.597406637
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/9/1,127920.288921717
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/10/1,128436.769347265
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/11/1,130150.355453254
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2020/12/1,133849.095923967
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/1/1,132967.973841613
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/2/1,132366.103955633
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/3/1,128007.032040253
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/4/1,130079.302681715
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/5/1,130769.007800704
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/6/1,129143.844098008
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/7/1,129513.902616191
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/8/1,242176.260513541
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/9/1,239483.923943952
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/10/1,241388.718004096
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/11/1,239184.77895245
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2021/12/1,240197.337193282
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/1/1,239330.787754897
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/2/1,239754.72685066896
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/3/1,237182.459292871
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/4/1,229916.629436113
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/5/1,231270.10470447296
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/6/1,227534.17706142296
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/7/1,226993.140641825
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/8/1,223071.020668691
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/9/1,219111.688617456
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/10/1,221754.526688245
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/11/1,228625.630790953
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2022/12/1,232716.637027829
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/1/1,236062.81196846496
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/2/1,232435.280009137
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/3/1,235948.842458469
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/4/1,235645.289630708
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/5/1,231972.659209953
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/6/1,232967.286807664
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/7/1,233966.834670548
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/8/1,232761.56607149
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/9/1,229949.20561611
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/10/1,229672.544553801
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/11/1,232346.958218549
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2023/12/1,234110.801811752
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/1/1,232964.719172791
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/2/1,232645.50193284
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/3/1,232761.248705209
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/4/1,230561.250351376
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/5/1,232014.55290855496
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/6/1,231079.098432319
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/7/1,234180.41913774
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/8/1,238053.088816305
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/9/1,239578.42654470896
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/10/1,232884.026201733
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/11/1,230423.175701495
US,Foreign Exchange Reserves,,Monthly,100 Million USD,2024/12/1,227759.698198716
