Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/7/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/7/30,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/7/31,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/4,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/30,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/8/31,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/4,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/16,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/17,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/18,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/19,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/20,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/21,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/22,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/23,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/24,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/25,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/26,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/27,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/28,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/29,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/9/30,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/1,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/2,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/3,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/4,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/5,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/6,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/7,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/8,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/9,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/10,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/11,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/12,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/13,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/14,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/15,0.15
US,Interest Rate,Interest Rate on Reserves,Daily,Percentage (%),2021/10/16,0.15
