Region,Data Type,Interest Rate Type,Frequency,Unit,date,value
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/1,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/2,1.54
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/3,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/6,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/7,1.56
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/8,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/9,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/10,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/13,1.54
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/14,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/15,1.56
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/16,1.55
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/17,1.54
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/20,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/21,1.54
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/22,1.54
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/23,1.54
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/24,1.53
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/27,1.53
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/28,1.53
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/29,1.53
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/30,1.58
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/1/31,1.6
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/3,1.59
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/4,1.6
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/5,1.59
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/6,1.59
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/7,1.58
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/10,1.58
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/11,1.58
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/12,1.57
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/13,1.57
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/14,1.58
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/17,
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/18,1.6
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/19,1.59
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/20,1.6
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/21,1.58
US,Interest Rate,Secured Overnight Financing Rate,Daily,Percentage (%),2020/2/24,1.58
