Region,Category,Indicator,Year,Quarter,Value
China,Consumer Confidence,Consumer Confidence Index,2020,1,103.5694
China,Consumer Confidence,Consumer Confidence Index,2020,2,101.7310
China,Consumer Confidence,Consumer Confidence Index,2020,3,102.2803
China,Consumer Confidence,Consumer Confidence Index,2020,4,103.7240
China,Consumer Confidence,Consumer Confidence Index,2021,1,104.0798
China,Consumer Confidence,Consumer Confidence Index,2021,2,103.4289
China,Consumer Confidence,Consumer Confidence Index,2021,3,102.7658
China,Consumer Confidence,Consumer Confidence Index,2021,4,103.1669
China,Consumer Confidence,Consumer Confidence Index,2022,1,101.4613
China,Consumer Confidence,Consumer Confidence Index,2022,2,94.3464
China,Consumer Confidence,Consumer Confidence Index,2022,3,93.2142
China,Consumer Confidence,Consumer Confidence Index,2022,4,93.4371
China,Consumer Confidence,Consumer Confidence Index,2023,1,94.8270
China,Consumer Confidence,Consumer Confidence Index,2023,2,93.6480
China,Consumer Confidence,Consumer Confidence Index,2023,3,93.1947
China,Consumer Confidence,Consumer Confidence Index,2023,4,93.4176
China,Economic Growth,Real GDP Growth Rate (Annualized),2020,1,2.3000
China,Economic Growth,Real GDP Growth Rate (Annualized),2021,1,8.6000
China,Economic Growth,Real GDP Growth Rate (Annualized),2022,1,3.1000
China,Economic Growth,Real GDP Growth Rate (Annualized),2023,1,5.4000
China,Economic Growth,Real GDP Growth Rate (Annualized),2024,1,5.0000
China,Economic Output,Real GDP,2020,1,"103,486,750.0000"
China,Economic Output,Real GDP,2021,1,"112,355,970.0000"
China,Economic Output,Real GDP,2022,1,"115,877,050.0000"
China,Economic Output,Real GDP,2023,1,"122,152,940.0000"
China,Economic Output,Real GDP,2024,1,"128,232,080.0000"
China,Employment,Youth Unemployment Rate,2020,1,12.6780
China,Employment,Youth Unemployment Rate,2021,1,12.4220
China,Employment,Youth Unemployment Rate,2022,1,14.8110
China,Employment,Youth Unemployment Rate,2023,1,15.7450
China,Employment,Youth Unemployment Rate,2024,1,15.2260
China,Foreign Trade,Exports,2020,1,17.7305
China,Foreign Trade,Exports,2020,2,17.9161
China,Foreign Trade,Exports,2020,3,17.7305
China,Foreign Trade,Exports,2020,4,16.3703
China,Foreign Trade,Exports,2021,1,20.9918
China,Foreign Trade,Exports,2021,2,18.6893
China,Foreign Trade,Exports,2021,3,18.6409
China,Foreign Trade,Exports,2021,4,17.7367
China,Foreign Trade,Exports,2022,1,21.5745
China,Foreign Trade,Exports,2022,2,20.6919
China,Foreign Trade,Exports,2022,3,20.3462
China,Foreign Trade,Exports,2022,4,18.1338
China,Foreign Trade,Exports,2023,1,22.2504
China,Foreign Trade,Exports,2023,2,19.8688
China,Foreign Trade,Exports,2023,3,18.5648
China,Foreign Trade,Imports,2020,1,16.5988
China,Foreign Trade,Imports,2020,2,13.6065
China,Foreign Trade,Imports,2020,3,13.9243
