Pair,Feature,Coefficient,R2,Adjusted_R2,MSE
GBPUSD=X,US_Imports,0.23812964971736497,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_DebtToGDP,0.16546932642149564,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_IndustrialProduction,0.15521841733792655,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_UnemploymentRate,0.12218336742518464,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_ConsumerConfidence,0.1208958243407574,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_GDP,0.07380315973082191,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_UnemploymentRate,0.05409304523515501,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_Exports,0.04952748038542165,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_RetailSalesValue,0.04798754658807808,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_CPI,0.03757358887694216,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_ForeignReserves,0.02955761320185934,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_HousePrice,0.026682475578106584,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_RetailSalesVolume,0.01651836793132264,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_ForeignReserves,0.01458145212781485,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_InterestRate,0.009591232723349425,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_RetailSalesVolume,-0.01283995652023112,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_CPI,-0.02770957982021209,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_InterestRate,-0.028008163683310352,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_HousePrice,-0.043292505508487775,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_GDP,-0.09729272376232233,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_Exports,-0.10015107854982666,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_ConsumerConfidence,-0.127352226200251,1.0,1.0,7.642090019328552e-32
GBPUSD=X,US_DebtToGDP,-0.1457025795716617,1.0,1.0,7.642090019328552e-32
GBPUSD=X,UK_Imports,-0.2047362301459295,1.0,1.0,7.642090019328552e-32
