Pair,Feature,Coefficient,R2,Adjusted_R2,MSE
USDCNY=X,US_Imports,1.2875492990799027,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_InterestRate,0.946765491326125,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_HousePrice,0.8729839646618706,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_IndustrialProduction,0.868976655212445,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_Exports,0.5332924686755847,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_ForeignReserves,0.5186150119268879,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_Imports,0.3788559050623914,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_CPI,0.13611775140471827,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_DebtToGDP,0.10780459020349854,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_GDP,0.09168495159154764,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_RetailSalesVolume,0.05402830745191182,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_IndustrialProduction,-0.14228219870606656,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_UnemploymentRate,-0.1426411976714539,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_UnemploymentRate,-0.160902281530453,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_GDP,-0.20840753644708782,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_ForeignReserves,-0.5112534228864964,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_ConsumerConfidence,-0.5361108791038636,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_ConsumerConfidence,-0.6102210813325691,1.0,1.0,2.8398992587956426e-30
USDCNY=X,China_HousePrice,-0.8537607453463083,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_Exports,-2.08339703983608,1.0,1.0,2.8398992587956426e-30
USDCNY=X,US_CPI,-2.5138193645746365,1.0,1.0,2.8398992587956426e-30
