Region,Indicator Type,Indicator Name,Frequency,date,value
China,Price Level,CPI (All Items),Monthly,2020/1/1,112.8
China,Price Level,CPI (All Items),Monthly,2020/2/1,113.7
China,Price Level,CPI (All Items),Monthly,2020/3/1,112.3
China,Price Level,CPI (All Items),Monthly,2020/4/1,111.3
China,Price Level,CPI (All Items),Monthly,2020/5/1,110.4
China,Price Level,CPI (All Items),Monthly,2020/6/1,110.4
China,Price Level,CPI (All Items),Monthly,2020/7/1,110
China,Price Level,CPI (All Items),Monthly,2020/8/1,111.5
China,Price Level,CPI (All Items),Monthly,2020/9/1,111.7
China,Price Level,CPI (All Items),Monthly,2020/10/1,111.4
China,Price Level,CPI (All Items),Monthly,2020/11/1,110.7
China,Price Level,CPI (All Items),Monthly,2020/12/1,111.5
China,Price Level,CPI (All Items),Monthly,2021/1/1,112.55
China,Price Level,CPI (All Items),Monthly,2021/2/1,113.2193
China,Price Level,CPI (All Items),Monthly,2021/3/1,112.6615
China,Price Level,CPI (All Items),Monthly,2021/4/1,112.3269
China,Price Level,CPI (All Items),Monthly,2021/5/1,112.2154
China,Price Level,CPI (All Items),Monthly,2021/6/1,111.7692
China,Price Level,CPI (All Items),Monthly,2021/7/1,112.1038
China,Price Level,CPI (All Items),Monthly,2021/8/1,112.2154
China,Price Level,CPI (All Items),Monthly,2021/9/1,112.2154
China,Price Level,CPI (All Items),Monthly,2021/10/1,112.9962
China,Price Level,CPI (All Items),Monthly,2021/11/1,113.4424
China,Price Level,CPI (All Items),Monthly,2021/12/1,113.1077
China,Price Level,CPI (All Items),Monthly,2022/1/1,113.6655
China,Price Level,CPI (All Items),Monthly,2022/2/1,114.3347
China,Price Level,CPI (All Items),Monthly,2022/3/1,114.3347
China,Price Level,CPI (All Items),Monthly,2022/4/1,114.7809
China,Price Level,CPI (All Items),Monthly,2022/5/1,114.5578
China,Price Level,CPI (All Items),Monthly,2022/6/1,114.5578
China,Price Level,CPI (All Items),Monthly,2022/7/1,115.1156
China,Price Level,CPI (All Items),Monthly,2022/8/1,115.004
China,Price Level,CPI (All Items),Monthly,2022/9/1,115.3387
China,Price Level,CPI (All Items),Monthly,2022/10/1,115.4502
China,Price Level,CPI (All Items),Monthly,2022/11/1,115.2271
China,Price Level,CPI (All Items),Monthly,2022/12/1,115.1156
China,Price Level,CPI (All Items),Monthly,2023/1/1,116.0079
China,Price Level,CPI (All Items),Monthly,2023/2/1,115.4502
China,Price Level,CPI (All Items),Monthly,2023/3/1,115.1156
China,Price Level,CPI (All Items),Monthly,2023/4/1,114.8925
China,Price Level,CPI (All Items),Monthly,2023/5/1,114.7809
China,Price Level,CPI (All Items),Monthly,2023/6/1,114.5578
China,Price Level,CPI (All Items),Monthly,2023/7/1,114.7809
China,Price Level,CPI (All Items),Monthly,2023/8/1,115.1156
China,Price Level,CPI (All Items),Monthly,2023/9/1,115.3387
China,Price Level,CPI (All Items),Monthly,2023/10/1,115.2271
China,Price Level,CPI (All Items),Monthly,2023/11/1,114.6694
China,Price Level,CPI (All Items),Monthly,2023/12/1,114.7809
China,Price Level,CPI (All Items),Monthly,2024/1/1,115.004
China,Price Level,CPI (All Items),Monthly,2024/2/1,116.231
China,Price Level,CPI (All Items),Monthly,2024/3/1,115.2271
China,Price Level,CPI (All Items),Monthly,2024/4/1,115.1156
China,Price Level,CPI (All Items),Monthly,2024/5/1,115.1156
China,Price Level,CPI (All Items),Monthly,2024/6/1,114.7809
China,Price Level,CPI (All Items),Monthly,2024/7/1,115.3387
China,Price Level,CPI (All Items),Monthly,2024/8/1,115.7848
China,Price Level,CPI (All Items),Monthly,2024/9/1,115.7848
China,Price Level,CPI (All Items),Monthly,2024/10/1,115.5617
China,Price Level,CPI (All Items),Monthly,2024/11/1,114.8925
China,Price Level,CPI (All Items),Monthly,2024/12/1,114.8925
