Region,Indicator Type,Indicator Name,Frequency,date,value
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/1/1,104.2644
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/2/1,103.5199
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/3/1,102.9239
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/4/1,102.1669
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/5/1,101.6224
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/6/1,101.4036
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/7/1,101.7326
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/8/1,102.2206
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/9/1,102.8876
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/10/1,103.4397
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/11/1,103.804
China,Consumer Confidence,Consumer Confidence Index,Monthly,2020/12/1,103.9282
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/1/1,104.0904
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/2/1,104.2181
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/3/1,103.9309
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/4/1,103.644
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/5/1,103.4487
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/6/1,103.1939
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/7/1,102.7696
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/8/1,102.6541
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/9/1,102.8737
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/10/1,103.0297
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/11/1,103.1635
China,Consumer Confidence,Consumer Confidence Index,Monthly,2021/12/1,103.3074
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/1/1,103.1453
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/2/1,101.9577
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/3/1,99.2808
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/4/1,95.80207
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/5/1,93.8969
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/6/1,93.34024
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/7/1,93.24099
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/8/1,93.21424
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/9/1,93.18738
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/10/1,93.16306
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/11/1,93.30472
China,Consumer Confidence,Consumer Confidence Index,Monthly,2022/12/1,93.84357
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/1/1,94.55602
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/2/1,95.0454
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/3/1,94.87959
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/4/1,94.12747
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/5/1,93.58338
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/6/1,93.23303
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/7/1,93.11995
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/8/1,93.1683
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/9/1,93.29594
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/10/1,93.39536
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/11/1,93.41125
China,Consumer Confidence,Consumer Confidence Index,Monthly,2023/12/1,93.44626
