Region,Indicator Type,Indicator Name,Frequency,date,value
China,Foreign Trade,Exports,Quarterly,2020/1/1,17.730510036015
China,Foreign Trade,Exports,Quarterly,2020/4/1,17.9160683704922
China,Foreign Trade,Exports,Quarterly,2020/7/1,17.730460713145
China,Foreign Trade,Exports,Quarterly,2020/10/1,16.3703041014414
China,Foreign Trade,Exports,Quarterly,2021/1/1,20.9917935498703
China,Foreign Trade,Exports,Quarterly,2021/4/1,18.6892995436358
China,Foreign Trade,Exports,Quarterly,2021/7/1,18.6409419486833
China,Foreign Trade,Exports,Quarterly,2021/10/1,17.7366713577983
China,Foreign Trade,Exports,Quarterly,2022/1/1,21.5745090385528
China,Foreign Trade,Exports,Quarterly,2022/4/1,20.6919033534409
China,Foreign Trade,Exports,Quarterly,2022/7/1,20.3462175834365
China,Foreign Trade,Exports,Quarterly,2022/10/1,18.1337769224758
China,Foreign Trade,Exports,Quarterly,2023/1/1,22.2504081889027
China,Foreign Trade,Exports,Quarterly,2023/4/1,19.8687926508499
China,Foreign Trade,Exports,Quarterly,2023/7/1,18.5648070211093
