Region,Indicator Type,Indicator Name,Frequency,date,value
China,Real Estate,House Price Index,Quarterly,2020/1/1,107.1595
China,Real Estate,House Price Index,Quarterly,2020/4/1,109.9375
China,Real Estate,House Price Index,Quarterly,2020/7/1,110.3074
China,Real Estate,House Price Index,Quarterly,2020/10/1,111.2144
China,Real Estate,House Price Index,Quarterly,2021/1/1,110.5531
China,Real Estate,House Price Index,Quarterly,2021/4/1,112.6308
China,Real Estate,House Price Index,Quarterly,2021/7/1,112.9908
China,Real Estate,House Price Index,Quarterly,2021/10/1,111.0876
China,Real Estate,House Price Index,Quarterly,2022/1/1,109.3304
China,Real Estate,House Price Index,Quarterly,2022/4/1,107.8288
China,Real Estate,House Price Index,Quarterly,2022/7/1,106.4509
China,Real Estate,House Price Index,Quarterly,2022/10/1,105.0432
China,Real Estate,House Price Index,Quarterly,2023/1/1,104.3427
China,Real Estate,House Price Index,Quarterly,2023/4/1,104.8471
China,Real Estate,House Price Index,Quarterly,2023/7/1,103.1349
China,Real Estate,House Price Index,Quarterly,2023/10/1,101.4751
China,Real Estate,House Price Index,Quarterly,2024/1/1,98.9629
China,Real Estate,House Price Index,Quarterly,2024/4/1,96.8513
China,Real Estate,House Price Index,Quarterly,2024/7/1,93.823
China,Real Estate,House Price Index,Quarterly,2024/10/1,92.5967
