Region,Indicator Type,Indicator Name,Frequency,date,value
China,Foreign Trade,Imports,Quarterly,2020/1/1,16.5988433597235
China,Foreign Trade,Imports,Quarterly,2020/4/1,13.6065015653632
China,Foreign Trade,Imports,Quarterly,2020/7/1,13.9243130026167
China,Foreign Trade,Imports,Quarterly,2020/10/1,12.528296514795
China,Foreign Trade,Imports,Quarterly,2021/1/1,16.439355214473
China,Foreign Trade,Imports,Quarterly,2021/4/1,15.5041287372724
China,Foreign Trade,Imports,Quarterly,2021/7/1,15.0295341009021
China,Foreign Trade,Imports,Quarterly,2021/10/1,13.7587058782136
China,Foreign Trade,Imports,Quarterly,2022/1/1,16.3863307367317
China,Foreign Trade,Imports,Quarterly,2022/4/1,15.5710267357915
China,Foreign Trade,Imports,Quarterly,2022/7/1,15.0903879708459
China,Foreign Trade,Imports,Quarterly,2022/10/1,14.1015434545907
China,Foreign Trade,Imports,Quarterly,2023/1/1,15.8224622077314
China,Foreign Trade,Imports,Quarterly,2023/4/1,14.6282539750022
China,Foreign Trade,Imports,Quarterly,2023/7/1,14.0451610110498
