Region,Indicator Type,Indicator Name,Frequency,date,value
China,Industrial Production,Industrial Production Index,Quarterly,2020/1/1,94.94125
China,Industrial Production,Industrial Production Index,Quarterly,2020/4/1,98.95041
China,Industrial Production,Industrial Production Index,Quarterly,2020/7/1,97.51345
China,Industrial Production,Industrial Production Index,Quarterly,2020/10/1,107.7361
China,Industrial Production,Industrial Production Index,Quarterly,2021/1/1,112.6174
China,Industrial Production,Industrial Production Index,Quarterly,2021/4/1,118.8062
China,Industrial Production,Industrial Production Index,Quarterly,2021/7/1,111.5168
China,Industrial Production,Industrial Production Index,Quarterly,2021/10/1,106.0999
China,Industrial Production,Industrial Production Index,Quarterly,2022/1/1,98.18618
China,Industrial Production,Industrial Production Index,Quarterly,2022/4/1,89.97513000000002
China,Industrial Production,Industrial Production Index,Quarterly,2022/7/1,93.41178
China,Industrial Production,Industrial Production Index,Quarterly,2022/10/1,95.75219000000001
China,Industrial Production,Industrial Production Index,Quarterly,2023/1/1,111.5709
China,Industrial Production,Industrial Production Index,Quarterly,2023/4/1,108.7139
China,Industrial Production,Industrial Production Index,Quarterly,2023/7/1,107.7921
China,Industrial Production,Industrial Production Index,Quarterly,2023/10/1,105.3477
China,Industrial Production,Industrial Production Index,Quarterly,2024/1/1,97.0853
