Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Price Level,CPI (All Items),Monthly,2020/1/1,102.3161
Japan,Price Level,CPI (All Items),Monthly,2020/2/1,102.1125
Japan,Price Level,CPI (All Items),Monthly,2020/3/1,102.1125
Japan,Price Level,CPI (All Items),Monthly,2020/4/1,102.0107
Japan,Price Level,CPI (All Items),Monthly,2020/5/1,101.9089
Japan,Price Level,CPI (All Items),Monthly,2020/6/1,101.7053
Japan,Price Level,CPI (All Items),Monthly,2020/7/1,101.8071
Japan,Price Level,CPI (All Items),Monthly,2020/8/1,101.9089
Japan,Price Level,CPI (All Items),Monthly,2020/9/1,101.7053
Japan,Price Level,CPI (All Items),Monthly,2020/10/1,101.6035
Japan,Price Level,CPI (All Items),Monthly,2020/11/1,101.298
Japan,Price Level,CPI (All Items),Monthly,2020/12/1,101.0944
Japan,Price Level,CPI (All Items),Monthly,2021/1/1,101.6035
Japan,Price Level,CPI (All Items),Monthly,2021/2/1,101.6035
Japan,Price Level,CPI (All Items),Monthly,2021/3/1,101.7053
Japan,Price Level,CPI (All Items),Monthly,2021/4/1,100.8908
Japan,Price Level,CPI (All Items),Monthly,2021/5/1,101.1962
Japan,Price Level,CPI (All Items),Monthly,2021/6/1,101.298
