Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/1/1,0.6999999999999998
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/2/1,0.4
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/3/1,0.4
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/4/1,0.1
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/5/1,0.1
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/6/1,0.1
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/7/1,0.2999999999999999
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/8/1,0.2
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/9/1,0
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/10/1,-0.4
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/11/1,-0.9
Japan,Price Level,CPI YoY Growth Rate,Monthly,2020/12/1,-1.2
Japan,Price Level,CPI YoY Growth Rate,Monthly,2021/1/1,-0.7
Japan,Price Level,CPI YoY Growth Rate,Monthly,2021/2/1,-0.5
Japan,Price Level,CPI YoY Growth Rate,Monthly,2021/3/1,-0.4
Japan,Price Level,CPI YoY Growth Rate,Monthly,2021/4/1,-1.1
Japan,Price Level,CPI YoY Growth Rate,Monthly,2021/5/1,-0.8
Japan,Price Level,CPI YoY Growth Rate,Monthly,2021/6/1,-0.5
