Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/1/1,99.03683
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/2/1,98.28284
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/3/1,96.92022
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/4/1,95.69758
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/5/1,95.46436
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/6/1,95.89619
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/7/1,96.4416
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/8/1,96.9056
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/9/1,97.31589
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/10/1,97.51375
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/11/1,97.48475
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2020/12/1,97.32553
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/1/1,97.32765
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/2/1,97.69778
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/3/1,98.06157
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/4/1,98.21864
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/5/1,98.32776
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/6/1,98.55759
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/7/1,98.73059
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/8/1,98.83421
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/9/1,98.98501
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/10/1,99.16047
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/11/1,99.21279
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2021/12/1,99.05021
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/1/1,98.66702
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/2/1,98.19636
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/3/1,97.74454
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/4/1,97.505
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/5/1,97.38676
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/6/1,97.22652
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/7/1,97.09911
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/8/1,97.09336
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/9/1,97.00058
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/10/1,96.89653
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/11/1,96.85
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2022/12/1,96.94454
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/1/1,97.10548
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/2/1,97.36208
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/3/1,97.76901
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/4/1,98.14967
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/5/1,98.40277
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/6/1,98.53342
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/7/1,98.56457
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/8/1,98.46131
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/9/1,98.34671
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/10/1,98.35806
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/11/1,98.48705
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2023/12/1,98.70564
Japan,Consumer Confidence,Consumer Confidence Index,Monthly,2024/1/1,98.94688
