Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Foreign Trade,Exports,Quarterly,2020/1/1,13.338064974542
Japan,Foreign Trade,Exports,Quarterly,2020/4/1,11.1990782445399
Japan,Foreign Trade,Exports,Quarterly,2020/7/1,12.326054445991
Japan,Foreign Trade,Exports,Quarterly,2020/10/1,13.5523798653205
Japan,Foreign Trade,Exports,Quarterly,2021/1/1,14.4457359445928
Japan,Foreign Trade,Exports,Quarterly,2021/4/1,15.0645887725985
Japan,Foreign Trade,Exports,Quarterly,2021/7/1,15.0248229505786
Japan,Foreign Trade,Exports,Quarterly,2021/10/1,15.4583673148194
Japan,Foreign Trade,Exports,Quarterly,2022/1/1,16.5412586371395
Japan,Foreign Trade,Exports,Quarterly,2022/4/1,17.2665090404034
Japan,Foreign Trade,Exports,Quarterly,2022/7/1,18.1764439082195
Japan,Foreign Trade,Exports,Quarterly,2022/10/1,17.9924182701044
Japan,Foreign Trade,Exports,Quarterly,2023/1/1,16.5866719624797
Japan,Foreign Trade,Exports,Quarterly,2023/4/1,16.5048795403134
Japan,Foreign Trade,Exports,Quarterly,2023/7/1,17.2372591254027
