Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Real Estate,House Price Index,Quarterly,2020/1/1,-1.0956
Japan,Real Estate,House Price Index,Quarterly,2020/4/1,-0.833
Japan,Real Estate,House Price Index,Quarterly,2020/7/1,-0.1508
Japan,Real Estate,House Price Index,Quarterly,2020/10/1,2.5223
Japan,Real Estate,House Price Index,Quarterly,2021/1/1,3.8961
Japan,Real Estate,House Price Index,Quarterly,2021/4/1,6.2476
Japan,Real Estate,House Price Index,Quarterly,2021/7/1,8.3252
Japan,Real Estate,House Price Index,Quarterly,2021/10/1,6.2902
Japan,Real Estate,House Price Index,Quarterly,2022/1/1,8.1216
Japan,Real Estate,House Price Index,Quarterly,2022/4/1,6.6587
Japan,Real Estate,House Price Index,Quarterly,2022/7/1,4.8469
Japan,Real Estate,House Price Index,Quarterly,2022/10/1,3.5329
Japan,Real Estate,House Price Index,Quarterly,2023/1/1,1.0671
Japan,Real Estate,House Price Index,Quarterly,2023/4/1,-0.1293
Japan,Real Estate,House Price Index,Quarterly,2023/7/1,-0.975
Japan,Real Estate,House Price Index,Quarterly,2023/10/1,-0.8633
Japan,Real Estate,House Price Index,Quarterly,2024/1/1,-0.0346
Japan,Real Estate,House Price Index,Quarterly,2024/4/1,0.0417
Japan,Real Estate,House Price Index,Quarterly,2024/7/1,0.4514
Japan,Real Estate,House Price Index,Quarterly,2024/10/1,-0.1393
