Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Foreign Trade,Imports,Quarterly,2020/1/1,13.1080174289816
Japan,Foreign Trade,Imports,Quarterly,2020/4/1,13.1060964348905
Japan,Foreign Trade,Imports,Quarterly,2020/7/1,11.7501362768265
Japan,Foreign Trade,Imports,Quarterly,2020/10/1,12.1844524191685
Japan,Foreign Trade,Imports,Quarterly,2021/1/1,13.8363114291231
Japan,Foreign Trade,Imports,Quarterly,2021/4/1,15.1065666907014
Japan,Foreign Trade,Imports,Quarterly,2021/7/1,15.728711367013
Japan,Foreign Trade,Imports,Quarterly,2021/10/1,16.5763019943748
Japan,Foreign Trade,Imports,Quarterly,2022/1/1,18.6657834175935
Japan,Foreign Trade,Imports,Quarterly,2022/4/1,21.0852600386693
Japan,Foreign Trade,Imports,Quarterly,2022/7/1,22.8904359736039
Japan,Foreign Trade,Imports,Quarterly,2022/10/1,22.2044853428055
Japan,Foreign Trade,Imports,Quarterly,2023/1/1,19.4668233344694
Japan,Foreign Trade,Imports,Quarterly,2023/4/1,18.100288993008
Japan,Foreign Trade,Imports,Quarterly,2023/7/1,18.2877459838547
