Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Industrial Production,Industrial Production Index,Monthly,2020/1/1,94.13535
Japan,Industrial Production,Industrial Production Index,Monthly,2020/2/1,94.68211
Japan,Industrial Production,Industrial Production Index,Monthly,2020/3/1,105.5264
Japan,Industrial Production,Industrial Production Index,Monthly,2020/4/1,86.2072
Japan,Industrial Production,Industrial Production Index,Monthly,2020/5/1,73.08475
Japan,Industrial Production,Industrial Production Index,Monthly,2020/6/1,83.47336
Japan,Industrial Production,Industrial Production Index,Monthly,2020/7/1,90.30797
Japan,Industrial Production,Industrial Production Index,Monthly,2020/8/1,81.46854
Japan,Industrial Production,Industrial Production Index,Monthly,2020/9/1,95.04663
Japan,Industrial Production,Industrial Production Index,Monthly,2020/10/1,96.04903
Japan,Industrial Production,Industrial Production Index,Monthly,2020/11/1,94.9555
Japan,Industrial Production,Industrial Production Index,Monthly,2020/12/1,98.69175000000001
Japan,Industrial Production,Industrial Production Index,Monthly,2021/1/1,90.03458
Japan,Industrial Production,Industrial Production Index,Monthly,2021/2/1,92.49504
Japan,Industrial Production,Industrial Production Index,Monthly,2021/3/1,108.6247
Japan,Industrial Production,Industrial Production Index,Monthly,2021/4/1,97.8716
Japan,Industrial Production,Industrial Production Index,Monthly,2021/5/1,86.57172
Japan,Industrial Production,Industrial Production Index,Monthly,2021/6/1,100.7877
Japan,Industrial Production,Industrial Production Index,Monthly,2021/7/1,100.1498
Japan,Industrial Production,Industrial Production Index,Monthly,2021/8/1,87.57411999999998
Japan,Industrial Production,Industrial Production Index,Monthly,2021/9/1,93.58858
Japan,Industrial Production,Industrial Production Index,Monthly,2021/10/1,92.76842
Japan,Industrial Production,Industrial Production Index,Monthly,2021/11/1,99.60303
Japan,Industrial Production,Industrial Production Index,Monthly,2021/12/1,100.5143
Japan,Industrial Production,Industrial Production Index,Monthly,2022/1/1,89.57894
Japan,Industrial Production,Industrial Production Index,Monthly,2022/2/1,93.04181
Japan,Industrial Production,Industrial Production Index,Monthly,2022/3/1,107.0755
Japan,Industrial Production,Industrial Production Index,Monthly,2022/4/1,93.49745
Japan,Industrial Production,Industrial Production Index,Monthly,2022/5/1,84.38464
Japan,Industrial Production,Industrial Production Index,Monthly,2022/6/1,98.05386
Japan,Industrial Production,Industrial Production Index,Monthly,2022/7/1,98.5095
Japan,Industrial Production,Industrial Production Index,Monthly,2022/8/1,92.40392000000001
Japan,Industrial Production,Industrial Production Index,Monthly,2022/9/1,101.6078
Japan,Industrial Production,Industrial Production Index,Monthly,2022/10/1,95.32001
Japan,Industrial Production,Industrial Production Index,Monthly,2022/11/1,98.14498
Japan,Industrial Production,Industrial Production Index,Monthly,2022/12/1,98.41837
Japan,Industrial Production,Industrial Production Index,Monthly,2023/1/1,86.66284
Japan,Industrial Production,Industrial Production Index,Monthly,2023/2/1,92.22166
Japan,Industrial Production,Industrial Production Index,Monthly,2023/3/1,105.7997
Japan,Industrial Production,Industrial Production Index,Monthly,2023/4/1,92.58617
Japan,Industrial Production,Industrial Production Index,Monthly,2023/5/1,87.39186999999998
Japan,Industrial Production,Industrial Production Index,Monthly,2023/6/1,97.68935
Japan,Industrial Production,Industrial Production Index,Monthly,2023/7/1,96.04903
Japan,Industrial Production,Industrial Production Index,Monthly,2023/8/1,88.4854
Japan,Industrial Production,Industrial Production Index,Monthly,2023/9/1,97.32483
Japan,Industrial Production,Industrial Production Index,Monthly,2023/10/1,95.95791
Japan,Industrial Production,Industrial Production Index,Monthly,2023/11/1,96.68694
Japan,Industrial Production,Industrial Production Index,Monthly,2023/12/1,96.96032
Japan,Industrial Production,Industrial Production Index,Monthly,2024/1/1,85.29591999999998
Japan,Industrial Production,Industrial Production Index,Monthly,2024/2/1,88.84990999999998
Japan,Industrial Production,Industrial Production Index,Monthly,2024/3/1,99.5119
