Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/1/1,-1.761249762
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/4/1,-9.643139125
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/7/1,-4.90449511
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/10/1,-0.395375377
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/1/1,-0.66508591
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/4/1,8.211426824084404
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/7/1,2.265264956865279
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/10/1,1.6739498278533993
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/1/1,0.9464453929856628
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/4/1,1.2119943807115905
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/7/1,1.238642793678692
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/10/1,0.3360173267367341
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/1/1,2.1198868172423593
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/4/1,1.396386444802132
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/7/1,0.8992995734792075
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/10/1,0.5700324696979033
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/1/1,-0.94351029
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/4/1,-0.665590202
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/7/1,0.7175758800935752
Japan,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/10/1,1.3449858295103043
