Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Economic Output,Real GDP,Quarterly,2020/1/1,544313.2
Japan,Economic Output,Real GDP,Quarterly,2020/4/1,503089.5
Japan,Economic Output,Real GDP,Quarterly,2020/7/1,530281.9
Japan,Economic Output,Real GDP,Quarterly,2020/10/1,539391.8
Japan,Economic Output,Real GDP,Quarterly,2021/1/1,540641
Japan,Economic Output,Real GDP,Quarterly,2021/4/1,544556
Japan,Economic Output,Real GDP,Quarterly,2021/7/1,542226.8
Japan,Economic Output,Real GDP,Quarterly,2021/10/1,548380.5
Japan,Economic Output,Real GDP,Quarterly,2022/1/1,545661.1
Japan,Economic Output,Real GDP,Quarterly,2022/4/1,551449
Japan,Economic Output,Real GDP,Quarterly,2022/7/1,548755.4
Japan,Economic Output,Real GDP,Quarterly,2022/10/1,550213.5
Japan,Economic Output,Real GDP,Quarterly,2023/1/1,557152.2
Japan,Economic Output,Real GDP,Quarterly,2023/4/1,559383
Japan,Economic Output,Real GDP,Quarterly,2023/7/1,553577.7
Japan,Economic Output,Real GDP,Quarterly,2023/10/1,553308.7
Japan,Economic Output,Real GDP,Quarterly,2024/1/1,551779.2
Japan,Economic Output,Real GDP,Quarterly,2024/4/1,555861.7
Japan,Economic Output,Real GDP,Quarterly,2024/7/1,557451.2
Japan,Economic Output,Real GDP,Quarterly,2024/10/1,560774.2
