Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Retail,Retail Sales (Value),Monthly,2020/1/1,102.968321277126
Japan,Retail,Retail Sales (Value),Monthly,2020/2/1,103.06809678224
Japan,Retail,Retail Sales (Value),Monthly,2020/3/1,97.5804440009978
Japan,Retail,Retail Sales (Value),Monthly,2020/4/1,89.3988525816912
Japan,Retail,Retail Sales (Value),Monthly,2020/5/1,91.9930157146421
Japan,Retail,Retail Sales (Value),Monthly,2020/6/1,101.970566225992
Japan,Retail,Retail Sales (Value),Monthly,2020/7/1,98.9773010725867
Japan,Retail,Retail Sales (Value),Monthly,2020/8/1,103.766525318034
Japan,Retail,Retail Sales (Value),Monthly,2020/9/1,102.070341731105
Japan,Retail,Retail Sales (Value),Monthly,2020/10/1,101.371913195311
Japan,Retail,Retail Sales (Value),Monthly,2020/11/1,101.771015215765
Japan,Retail,Retail Sales (Value),Monthly,2020/12/1,101.371913195311
Japan,Retail,Retail Sales (Value),Monthly,2021/1/1,100.673484659516
Japan,Retail,Retail Sales (Value),Monthly,2021/2/1,102.968321277126
Japan,Retail,Retail Sales (Value),Monthly,2021/3/1,102.369668246446
Japan,Retail,Retail Sales (Value),Monthly,2021/4/1,100.074831628835
Japan,Retail,Retail Sales (Value),Monthly,2021/5/1,100.074831628835
Japan,Retail,Retail Sales (Value),Monthly,2021/6/1,102.070341731105
Japan,Retail,Retail Sales (Value),Monthly,2021/7/1,101.671239710651
Japan,Retail,Retail Sales (Value),Monthly,2021/8/1,100.473933649289
Japan,Retail,Retail Sales (Value),Monthly,2021/9/1,101.172362185084
Japan,Retail,Retail Sales (Value),Monthly,2021/10/1,101.970566225992
Japan,Retail,Retail Sales (Value),Monthly,2021/11/1,103.666749812921
Japan,Retail,Retail Sales (Value),Monthly,2021/12/1,102.469443751559
Japan,Retail,Retail Sales (Value),Monthly,2022/1/1,102.070341731105
Japan,Retail,Retail Sales (Value),Monthly,2022/2/1,101.970566225992
Japan,Retail,Retail Sales (Value),Monthly,2022/3/1,102.868545772013
Japan,Retail,Retail Sales (Value),Monthly,2022/4/1,103.267647792467
Japan,Retail,Retail Sales (Value),Monthly,2022/5/1,103.966076328261
Japan,Retail,Retail Sales (Value),Monthly,2022/6/1,103.566974307807
Japan,Retail,Retail Sales (Value),Monthly,2022/7/1,104.464953853829
Japan,Retail,Retail Sales (Value),Monthly,2022/8/1,104.664504864056
Japan,Retail,Retail Sales (Value),Monthly,2022/9/1,105.861810925418
Japan,Retail,Retail Sales (Value),Monthly,2022/10/1,106.260912945872
Japan,Retail,Retail Sales (Value),Monthly,2022/11/1,106.061361935645
Japan,Retail,Retail Sales (Value),Monthly,2022/12/1,106.360688450985
Japan,Retail,Retail Sales (Value),Monthly,2023/1/1,107.258667997007
Japan,Retail,Retail Sales (Value),Monthly,2023/2/1,109.553504614617
Japan,Retail,Retail Sales (Value),Monthly,2023/3/1,109.852831129958
Japan,Retail,Retail Sales (Value),Monthly,2023/4/1,108.655525068596
Japan,Retail,Retail Sales (Value),Monthly,2023/5/1,110.152157645298
Japan,Retail,Retail Sales (Value),Monthly,2023/6/1,109.453729109504
Japan,Retail,Retail Sales (Value),Monthly,2023/7/1,111.848341232228
Japan,Retail,Retail Sales (Value),Monthly,2023/8/1,112.047892242454
Japan,Retail,Retail Sales (Value),Monthly,2023/9/1,112.446994262908
Japan,Retail,Retail Sales (Value),Monthly,2023/10/1,110.551259665752
