Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Retail,Retail Sales (Volume),Monthly,2020/1/1,1.3752455795677692
Japan,Retail,Retail Sales (Volume),Monthly,2020/2/1,0.2964942382156154
Japan,Retail,Retail Sales (Volume),Monthly,2020/3/1,-5.324298161
Japan,Retail,Retail Sales (Volume),Monthly,2020/4/1,-8.293025401
Japan,Retail,Retail Sales (Volume),Monthly,2020/5/1,3.004584701013296
Japan,Retail,Retail Sales (Volume),Monthly,2020/6/1,11.067900872673087
Japan,Retail,Retail Sales (Volume),Monthly,2020/7/1,-3.032485323
Japan,Retail,Retail Sales (Volume),Monthly,2020/8/1,4.733975701717664
Japan,Retail,Retail Sales (Volume),Monthly,2020/9/1,-1.437687688
Japan,Retail,Retail Sales (Volume),Monthly,2020/10/1,-0.584747207
Japan,Retail,Retail Sales (Volume),Monthly,2020/11/1,0.6963953626399808
Japan,Retail,Retail Sales (Volume),Monthly,2020/12/1,-0.191536836
Japan,Retail,Retail Sales (Volume),Monthly,2021/1/1,-1.186526597
Japan,Retail,Retail Sales (Volume),Monthly,2021/2/1,2.2794846382556746
Japan,Retail,Retail Sales (Volume),Monthly,2021/3/1,-0.680913472
Japan,Retail,Retail Sales (Volume),Monthly,2021/4/1,-1.452546604
Japan,Retail,Retail Sales (Volume),Monthly,2021/5/1,-0.301810865
Japan,Retail,Retail Sales (Volume),Monthly,2021/6/1,1.891511395461836
Japan,Retail,Retail Sales (Volume),Monthly,2021/7/1,-0.590824281
Japan,Retail,Retail Sales (Volume),Monthly,2021/8/1,-1.177625123
Japan,Retail,Retail Sales (Volume),Monthly,2021/9/1,0.2927559034808622
Japan,Retail,Retail Sales (Volume),Monthly,2021/10/1,0.9907343240676229
Japan,Retail,Retail Sales (Volume),Monthly,2021/11/1,1.4602814015730377
Japan,Retail,Retail Sales (Volume),Monthly,2021/12/1,-1.154956689
Japan,Retail,Retail Sales (Volume),Monthly,2022/1/1,-0.58810909
Japan,Retail,Retail Sales (Volume),Monthly,2022/2/1,-0.494582886
Japan,Retail,Retail Sales (Volume),Monthly,2022/3/1,0.4814941707751169
Japan,Retail,Retail Sales (Volume),Monthly,2022/4/1,-0.007644785
Japan,Retail,Retail Sales (Volume),Monthly,2022/5/1,0.3796399115439266
Japan,Retail,Retail Sales (Volume),Monthly,2022/6/1,-0.383877159
Japan,Retail,Retail Sales (Volume),Monthly,2022/7/1,0.3740556789223689
Japan,Retail,Retail Sales (Volume),Monthly,2022/8/1,-0.199205966
Japan,Retail,Retail Sales (Volume),Monthly,2022/9/1,0.7515355717282823
Japan,Retail,Retail Sales (Volume),Monthly,2022/10/1,-0.203770574
Japan,Retail,Retail Sales (Volume),Monthly,2022/11/1,-0.37992472
Japan,Retail,Retail Sales (Volume),Monthly,2022/12/1,0.0895549633421264
Japan,Retail,Retail Sales (Volume),Monthly,2023/1/1,0.7327287290946443
Japan,Retail,Retail Sales (Volume),Monthly,2023/2/1,1.0459401709401623
Japan,Retail,Retail Sales (Volume),Monthly,2023/3/1,0.6277304152351826
Japan,Retail,Retail Sales (Volume),Monthly,2023/4/1,-0.66603235
Japan,Retail,Retail Sales (Volume),Monthly,2023/5/1,0.9132420091324264
Japan,Retail,Retail Sales (Volume),Monthly,2023/6/1,-0.5471156
Japan,Retail,Retail Sales (Volume),Monthly,2023/7/1,0.7936699062527203
Japan,Retail,Retail Sales (Volume),Monthly,2023/8/1,0.6175162707272335
Japan,Retail,Retail Sales (Volume),Monthly,2023/9/1,-0.104894577
Japan,Retail,Retail Sales (Volume),Monthly,2023/10/1,-1.809897292
Japan,Retail,Retail Sales (Volume),Monthly,2023/11/1,0.5468289463297874
Japan,Retail,Retail Sales (Volume),Monthly,2023/12/1,-1.428363249
Japan,Retail,Retail Sales (Volume),Monthly,2024/1/1,0.5416455318703984
Japan,Retail,Retail Sales (Volume),Monthly,2024/2/1,0.4512635379061498
Japan,Retail,Retail Sales (Volume),Monthly,2024/3/1,-0.100659103
Japan,Retail,Retail Sales (Volume),Monthly,2024/4/1,-0.01790391
Japan,Retail,Retail Sales (Volume),Monthly,2024/5/1,0.5195255715607117
Japan,Retail,Retail Sales (Volume),Monthly,2024/6/1,0.6148888489031945
Japan,Retail,Retail Sales (Volume),Monthly,2024/7/1,-0.280774322
Japan,Retail,Retail Sales (Volume),Monthly,2024/8/1,0.0660685358456224
Japan,Retail,Retail Sales (Volume),Monthly,2024/9/1,-1.128794896
Japan,Retail,Retail Sales (Volume),Monthly,2024/10/1,-0.547945205
Japan,Retail,Retail Sales (Volume),Monthly,2024/11/1,0.9549477071600436
Japan,Retail,Retail Sales (Volume),Monthly,2024/12/1,-0.805756167
