Region,Indicator Type,Indicator Name,Frequency,date,value
Japan,Employment,Unemployment Rate,Monthly,2020/1/1,2.4
Japan,Employment,Unemployment Rate,Monthly,2020/2/1,2.4
Japan,Employment,Unemployment Rate,Monthly,2020/3/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2020/4/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2020/5/1,2.8
Japan,Employment,Unemployment Rate,Monthly,2020/6/1,2.8
Japan,Employment,Unemployment Rate,Monthly,2020/7/1,2.9
Japan,Employment,Unemployment Rate,Monthly,2020/8/1,3
Japan,Employment,Unemployment Rate,Monthly,2020/9/1,3
Japan,Employment,Unemployment Rate,Monthly,2020/10/1,3.1
Japan,Employment,Unemployment Rate,Monthly,2020/11/1,3
Japan,Employment,Unemployment Rate,Monthly,2020/12/1,3.1
Japan,Employment,Unemployment Rate,Monthly,2021/1/1,3
Japan,Employment,Unemployment Rate,Monthly,2021/2/1,2.9
Japan,Employment,Unemployment Rate,Monthly,2021/3/1,2.7
Japan,Employment,Unemployment Rate,Monthly,2021/4/1,2.9
Japan,Employment,Unemployment Rate,Monthly,2021/5/1,2.9
Japan,Employment,Unemployment Rate,Monthly,2021/6/1,2.9
Japan,Employment,Unemployment Rate,Monthly,2021/7/1,2.8
Japan,Employment,Unemployment Rate,Monthly,2021/8/1,2.8
Japan,Employment,Unemployment Rate,Monthly,2021/9/1,2.7
Japan,Employment,Unemployment Rate,Monthly,2021/10/1,2.7
Japan,Employment,Unemployment Rate,Monthly,2021/11/1,2.8
Japan,Employment,Unemployment Rate,Monthly,2021/12/1,2.7
Japan,Employment,Unemployment Rate,Monthly,2022/1/1,2.8
Japan,Employment,Unemployment Rate,Monthly,2022/2/1,2.7
Japan,Employment,Unemployment Rate,Monthly,2022/3/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2022/4/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2022/5/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2022/6/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2022/7/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2022/8/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2022/9/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2022/10/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2022/11/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2022/12/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2023/1/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2023/2/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/3/1,2.7
Japan,Employment,Unemployment Rate,Monthly,2023/4/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/5/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2023/6/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2023/7/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/8/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/9/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/10/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/11/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2023/12/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2024/1/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2024/2/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2024/3/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2024/4/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2024/5/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2024/6/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2024/7/1,2.6
Japan,Employment,Unemployment Rate,Monthly,2024/8/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2024/9/1,2.4
Japan,Employment,Unemployment Rate,Monthly,2024/10/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2024/11/1,2.5
Japan,Employment,Unemployment Rate,Monthly,2024/12/1,2.5
