Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Price Level,CPI (All Items),Monthly,2020/1/1,108.3
UK,Price Level,CPI (All Items),Monthly,2020/2/1,108.6
UK,Price Level,CPI (All Items),Monthly,2020/3/1,108.6
UK,Price Level,CPI (All Items),Monthly,2020/4/1,108.6
UK,Price Level,CPI (All Items),Monthly,2020/5/1,108.6
UK,Price Level,CPI (All Items),Monthly,2020/6/1,108.8
UK,Price Level,CPI (All Items),Monthly,2020/7/1,109.2
UK,Price Level,CPI (All Items),Monthly,2020/8/1,108.8
UK,Price Level,CPI (All Items),Monthly,2020/9/1,109.2
UK,Price Level,CPI (All Items),Monthly,2020/10/1,109.2
UK,Price Level,CPI (All Items),Monthly,2020/11/1,109.1
UK,Price Level,CPI (All Items),Monthly,2020/12/1,109.4
UK,Price Level,CPI (All Items),Monthly,2021/1/1,109.3
UK,Price Level,CPI (All Items),Monthly,2021/2/1,109.4
UK,Price Level,CPI (All Items),Monthly,2021/3/1,109.7
UK,Price Level,CPI (All Items),Monthly,2021/4/1,110.4
UK,Price Level,CPI (All Items),Monthly,2021/5/1,111
UK,Price Level,CPI (All Items),Monthly,2021/6/1,111.4
UK,Price Level,CPI (All Items),Monthly,2021/7/1,111.4
UK,Price Level,CPI (All Items),Monthly,2021/8/1,112.1
UK,Price Level,CPI (All Items),Monthly,2021/9/1,112.4
UK,Price Level,CPI (All Items),Monthly,2021/10/1,113.4
UK,Price Level,CPI (All Items),Monthly,2021/11/1,114.1
UK,Price Level,CPI (All Items),Monthly,2021/12/1,114.7
UK,Price Level,CPI (All Items),Monthly,2022/1/1,114.6
UK,Price Level,CPI (All Items),Monthly,2022/2/1,115.4
UK,Price Level,CPI (All Items),Monthly,2022/3/1,116.5
UK,Price Level,CPI (All Items),Monthly,2022/4/1,119
UK,Price Level,CPI (All Items),Monthly,2022/5/1,119.7
UK,Price Level,CPI (All Items),Monthly,2022/6/1,120.5
UK,Price Level,CPI (All Items),Monthly,2022/7/1,121.2
UK,Price Level,CPI (All Items),Monthly,2022/8/1,121.8
UK,Price Level,CPI (All Items),Monthly,2022/9/1,122.3
UK,Price Level,CPI (All Items),Monthly,2022/10/1,124.3
UK,Price Level,CPI (All Items),Monthly,2022/11/1,124.8
UK,Price Level,CPI (All Items),Monthly,2022/12/1,125.3
UK,Price Level,CPI (All Items),Monthly,2023/1/1,124.8
UK,Price Level,CPI (All Items),Monthly,2023/2/1,126
UK,Price Level,CPI (All Items),Monthly,2023/3/1,126.8
UK,Price Level,CPI (All Items),Monthly,2023/4/1,128.3
UK,Price Level,CPI (All Items),Monthly,2023/5/1,129.1
UK,Price Level,CPI (All Items),Monthly,2023/6/1,129.4
UK,Price Level,CPI (All Items),Monthly,2023/7/1,129
UK,Price Level,CPI (All Items),Monthly,2023/8/1,129.4
UK,Price Level,CPI (All Items),Monthly,2023/9/1,130.1
UK,Price Level,CPI (All Items),Monthly,2023/10/1,130.2
UK,Price Level,CPI (All Items),Monthly,2023/11/1,130
