Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/1/1,-0.2
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/2/1,0.2999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/3/1,0
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/4/1,0
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/5/1,0
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/6/1,0.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/7/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/8/1,-0.3
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/9/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/10/1,0
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/11/1,-0.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2020/12/1,0.2
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/1/1,-0.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/2/1,0.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/3/1,0.2
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/4/1,0.6999999999999998
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/5/1,0.5
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/6/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/7/1,0
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/8/1,0.5999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/9/1,0.2999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/10/1,0.9
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/11/1,0.5999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2021/12/1,0.5
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/1/1,0
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/2/1,0.6999999999999998
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/3/1,0.9
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/4/1,2.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/5/1,0.5999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/6/1,0.6999999999999998
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/7/1,0.5999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/8/1,0.5
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/9/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/10/1,1.6
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/11/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2022/12/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/1/1,-0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/2/1,1
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/3/1,0.6999999999999998
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/4/1,1.2
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/5/1,0.5999999999999999
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/6/1,0.2
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/7/1,-0.3
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/8/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/9/1,0.5
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/10/1,0.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/11/1,-0.1
UK,Price Level,CPI YoY Growth Rate,Monthly,2023/12/1,0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2024/1/1,-0.4
UK,Price Level,CPI YoY Growth Rate,Monthly,2024/2/1,0.5999999999999999
