Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/1/1,100.8434
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/2/1,100.4913
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/3/1,99.44043
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/4/1,97.92415
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/5/1,97.18063
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/6/1,97.31718
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/7/1,97.80187
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/8/1,98.007
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/9/1,97.83266
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/10/1,97.50163
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/11/1,97.40619
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2020/12/1,97.80963
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/1/1,98.38744
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/2/1,99.43591
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/3/1,100.715
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/4/1,101.7222
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/5/1,102.4912
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/6/1,102.837
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/7/1,102.7825
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/8/1,102.2766
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/9/1,101.437
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/10/1,100.7414
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/11/1,100.4186
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2021/12/1,99.94845
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/1/1,98.95043
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/2/1,97.46562
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/3/1,95.94691
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/4/1,94.66597
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/5/1,93.90968
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/6/1,93.49792
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/7/1,93.16212
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/8/1,92.64215
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/9/1,92.21105
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/10/1,92.31344
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/11/1,92.73724
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2022/12/1,93.14101
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/1/1,93.57465
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/2/1,94.39042
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/3/1,95.30563
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/4/1,96.34989
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/5/1,97.20181
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/6/1,97.65595
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/7/1,97.65241
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/8/1,97.83019
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/9/1,97.89356
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/10/1,97.69367
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/11/1,97.98371
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2023/12/1,98.47791
UK,Consumer Confidence,Consumer Confidence Index,Monthly,2024/1/1,99.07277
