Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Foreign Trade,Exports,Quarterly,2020/1/1,14.2652388145456
UK,Foreign Trade,Exports,Quarterly,2020/4/1,12.9008811759386
UK,Foreign Trade,Exports,Quarterly,2020/7/1,13.6648474438857
UK,Foreign Trade,Exports,Quarterly,2020/10/1,14.6839280981076
UK,Foreign Trade,Exports,Quarterly,2021/1/1,13.1819455720097
UK,Foreign Trade,Exports,Quarterly,2021/4/1,13.7057164241111
UK,Foreign Trade,Exports,Quarterly,2021/7/1,13.4569195204346
UK,Foreign Trade,Exports,Quarterly,2021/10/1,14.1234615379388
UK,Foreign Trade,Exports,Quarterly,2022/1/1,13.9437586557407
UK,Foreign Trade,Exports,Quarterly,2022/4/1,14.8367110727816
UK,Foreign Trade,Exports,Quarterly,2022/7/1,15.5745455519298
UK,Foreign Trade,Exports,Quarterly,2022/10/1,14.9783666998391
UK,Foreign Trade,Exports,Quarterly,2023/1/1,14.068794058687
UK,Foreign Trade,Exports,Quarterly,2023/4/1,13.6099832157299
UK,Foreign Trade,Exports,Quarterly,2023/7/1,13.1141270273235
