Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Real Estate,House Price Index,Quarterly,2020/1/1,112.1297
UK,Real Estate,House Price Index,Quarterly,2020/4/1,112.3348
UK,Real Estate,House Price Index,Quarterly,2020/7/1,115.1981
UK,Real Estate,House Price Index,Quarterly,2020/10/1,118.3291
UK,Real Estate,House Price Index,Quarterly,2021/1/1,119.9913
UK,Real Estate,House Price Index,Quarterly,2021/4/1,120.442
UK,Real Estate,House Price Index,Quarterly,2021/7/1,121.4089
UK,Real Estate,House Price Index,Quarterly,2021/10/1,121.0006
UK,Real Estate,House Price Index,Quarterly,2022/1/1,122.2217
UK,Real Estate,House Price Index,Quarterly,2022/4/1,120.1854
UK,Real Estate,House Price Index,Quarterly,2022/7/1,122.4408
UK,Real Estate,House Price Index,Quarterly,2022/10/1,119.1114
UK,Real Estate,House Price Index,Quarterly,2023/1/1,115.3541
UK,Real Estate,House Price Index,Quarterly,2023/4/1,111.8532
UK,Real Estate,House Price Index,Quarterly,2023/7/1,113.4931
UK,Real Estate,House Price Index,Quarterly,2023/10/1,111.5411
UK,Real Estate,House Price Index,Quarterly,2024/1/1,109.9391
UK,Real Estate,House Price Index,Quarterly,2024/4/1,109.9853
UK,Real Estate,House Price Index,Quarterly,2024/7/1,112.3167
UK,Real Estate,House Price Index,Quarterly,2024/10/1,112.0351
