Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Foreign Trade,Imports,Quarterly,2020/1/1,19.312502554747
UK,Foreign Trade,Imports,Quarterly,2020/4/1,18.0137167980772
UK,Foreign Trade,Imports,Quarterly,2020/7/1,20.1236780810331
UK,Foreign Trade,Imports,Quarterly,2020/10/1,22.5874503546658
UK,Foreign Trade,Imports,Quarterly,2021/1/1,19.6087183255366
UK,Foreign Trade,Imports,Quarterly,2021/4/1,20.7207792472157
UK,Foreign Trade,Imports,Quarterly,2021/7/1,21.1312888827655
UK,Foreign Trade,Imports,Quarterly,2021/10/1,22.2522616941192
UK,Foreign Trade,Imports,Quarterly,2022/1/1,24.4311627355423
UK,Foreign Trade,Imports,Quarterly,2022/4/1,25.4762554571364
UK,Foreign Trade,Imports,Quarterly,2022/7/1,25.2168716525022
UK,Foreign Trade,Imports,Quarterly,2022/10/1,25.217447536615
UK,Foreign Trade,Imports,Quarterly,2023/1/1,22.2690794669599
UK,Foreign Trade,Imports,Quarterly,2023/4/1,21.9248544421197
UK,Foreign Trade,Imports,Quarterly,2023/7/1,20.2172139232598
