Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/1/1,-2.744908565
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/4/1,-19.90616088
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/7/1,16.964675432080806
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/10/1,1.3679841302056264
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/1/1,-1.07616295
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/4/1,6.982282323945388
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/7/1,1.6866455206631448
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/10/1,1.3776485450818767
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/1/1,1.013349514563103
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/4/1,0.5579266461253685
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/7/1,0.1011168015619236
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/10/1,0.2602510228825843
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/1/1,0.0564736352325855
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/4/1,0.0413519325136402
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/7/1,-0.239597036
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/10/1,-0.3214415
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/1/1,0.839959861615935
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/4/1,0.6372697201422491
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/7/1,0.1954604314789087
UK,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/10/1,0.2408366599584075
