Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2020/1/1,559365
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2020/4/1,481227
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2020/7/1,540319
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2020/10/1,543809
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2021/1/1,545116
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2021/4/1,576525
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2021/7/1,592707
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2021/10/1,608304
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2022/1/1,623014
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2022/4/1,639293
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2022/7/1,650233
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2022/10/1,668409
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2023/1/1,679194
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2023/4/1,689618
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2023/7/1,692982
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2023/10/1,690370
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2024/1/1,706118
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2024/4/1,714628
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2024/7/1,727181
UK,Economic Output,Real GDP (Millions GBP),Quarterly,2024/10/1,736079
