Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Retail,Retail Sales (Value),Monthly,2020/1/1,117.916383742361
UK,Retail,Retail Sales (Value),Monthly,2020/2/1,116.519546027743
UK,Retail,Retail Sales (Value),Monthly,2020/3/1,110.6993889
UK,Retail,Retail Sales (Value),Monthly,2020/4/1,94.0537394509652
UK,Retail,Retail Sales (Value),Monthly,2020/5/1,104.646425453487
UK,Retail,Retail Sales (Value),Monthly,2020/6/1,118.3819963
UK,Retail,Retail Sales (Value),Monthly,2020/7/1,122.45610631487
UK,Retail,Retail Sales (Value),Monthly,2020/8/1,123.270928315065
UK,Retail,Retail Sales (Value),Monthly,2020/9/1,125.133378601222
UK,Retail,Retail Sales (Value),Monthly,2020/10/1,126.530216315841
UK,Retail,Retail Sales (Value),Monthly,2020/11/1,121.641284314676
UK,Retail,Retail Sales (Value),Monthly,2020/12/1,123.15452517218
UK,Retail,Retail Sales (Value),Monthly,2021/1/1,112.911048598312
UK,Retail,Retail Sales (Value),Monthly,2021/2/1,114.5406926
UK,Retail,Retail Sales (Value),Monthly,2021/3/1,118.61480259967
UK,Retail,Retail Sales (Value),Monthly,2021/4/1,128.276263459113
UK,Retail,Retail Sales (Value),Monthly,2021/5/1,126.879425744495
UK,Retail,Retail Sales (Value),Monthly,2021/6/1,128.741876030653
UK,Retail,Retail Sales (Value),Monthly,2021/7/1,125.482588029877
UK,Retail,Retail Sales (Value),Monthly,2021/8/1,125.948200601416
UK,Retail,Retail Sales (Value),Monthly,2021/9/1,126.181006887186
UK,Retail,Retail Sales (Value),Monthly,2021/10/1,127.810650887574
UK,Retail,Retail Sales (Value),Monthly,2021/11/1,128.276263459113
UK,Retail,Retail Sales (Value),Monthly,2021/12/1,128.043457173344
UK,Retail,Retail Sales (Value),Monthly,2022/1/1,128.625472887768
UK,Retail,Retail Sales (Value),Monthly,2022/2/1,127.927054030459
UK,Retail,Retail Sales (Value),Monthly,2022/3/1,128.392666601998
UK,Retail,Retail Sales (Value),Monthly,2022/4/1,128.276263459113
UK,Retail,Retail Sales (Value),Monthly,2022/5/1,128.276263459113
UK,Retail,Retail Sales (Value),Monthly,2022/6/1,129.905907459501
UK,Retail,Retail Sales (Value),Monthly,2022/7/1,131.768357745659
UK,Retail,Retail Sales (Value),Monthly,2022/8/1,130.138713745271
UK,Retail,Retail Sales (Value),Monthly,2022/9/1,130.487923173926
UK,Retail,Retail Sales (Value),Monthly,2022/10/1,132.466776602968
UK,Retail,Retail Sales (Value),Monthly,2022/11/1,132.350373460083
UK,Retail,Retail Sales (Value),Monthly,2022/12/1,130.255116888156
UK,Retail,Retail Sales (Value),Monthly,2023/1/1,132.932389174508
UK,Retail,Retail Sales (Value),Monthly,2023/2/1,135.027645746435
UK,Retail,Retail Sales (Value),Monthly,2023/3/1,133.863614317587
UK,Retail,Retail Sales (Value),Monthly,2023/4/1,136.308080318169
UK,Retail,Retail Sales (Value),Monthly,2023/5/1,137.472111747017
UK,Retail,Retail Sales (Value),Monthly,2023/6/1,138.752546318751
UK,Retail,Retail Sales (Value),Monthly,2023/7/1,137.472111747017
UK,Retail,Retail Sales (Value),Monthly,2023/8/1,138.636143175866
UK,Retail,Retail Sales (Value),Monthly,2023/9/1,137.821321175672
UK,Retail,Retail Sales (Value),Monthly,2023/10/1,138.170530604326
UK,Retail,Retail Sales (Value),Monthly,2023/11/1,139.800174604714
