Region,Indicator Type,Indicator Name,Frequency,date,value
UK,Retail,Retail Sales (Volume),Monthly,2020/1/1,0.2904162633107698
UK,Retail,Retail Sales (Volume),Monthly,2020/2/1,-0.675675676
UK,Retail,Retail Sales (Volume),Monthly,2020/3/1,-4.956268222
UK,Retail,Retail Sales (Volume),Monthly,2020/4/1,-14.5194274
UK,Retail,Retail Sales (Volume),Monthly,2020/5/1,11.8421052631579
UK,Retail,Retail Sales (Volume),Monthly,2020/6/1,12.299465240641716
UK,Retail,Retail Sales (Volume),Monthly,2020/7/1,3.1428571428571335
UK,Retail,Retail Sales (Volume),Monthly,2020/8/1,1.2003693444136532
UK,Retail,Retail Sales (Volume),Monthly,2020/9/1,1.5510948905109672
UK,Retail,Retail Sales (Volume),Monthly,2020/10/1,0.8984725965858059
UK,Retail,Retail Sales (Volume),Monthly,2020/11/1,-3.739982191
UK,Retail,Retail Sales (Volume),Monthly,2020/12/1,0.6475485661424772
UK,Retail,Retail Sales (Volume),Monthly,2021/1/1,-7.444852941
UK,Retail,Retail Sales (Volume),Monthly,2021/2/1,0.993048659384312
UK,Retail,Retail Sales (Volume),Monthly,2021/3/1,3.3431661750245607
UK,Retail,Retail Sales (Volume),Monthly,2021/4/1,8.182683158896296
UK,Retail,Retail Sales (Volume),Monthly,2021/5/1,-2.286719437
UK,Retail,Retail Sales (Volume),Monthly,2021/6/1,0.7200720072007252
UK,Retail,Retail Sales (Volume),Monthly,2021/7/1,-2.770330652
UK,Retail,Retail Sales (Volume),Monthly,2021/8/1,0.1838235294117613
UK,Retail,Retail Sales (Volume),Monthly,2021/9/1,-0.275229358
UK,Retail,Retail Sales (Volume),Monthly,2021/10/1,0.5519779208831544
UK,Retail,Retail Sales (Volume),Monthly,2021/11/1,-0.914913083
UK,Retail,Retail Sales (Volume),Monthly,2021/12/1,0.3693444136657553
UK,Retail,Retail Sales (Volume),Monthly,2022/1/1,-0.735970561
UK,Retail,Retail Sales (Volume),Monthly,2022/2/1,-1.575532901
UK,Retail,Retail Sales (Volume),Monthly,2022/3/1,-0.65913371
UK,Retail,Retail Sales (Volume),Monthly,2022/4/1,-0.947867299
UK,Retail,Retail Sales (Volume),Monthly,2022/5/1,-1.339712919
UK,Retail,Retail Sales (Volume),Monthly,2022/6/1,0.2909796314258246
UK,Retail,Retail Sales (Volume),Monthly,2022/7/1,0.2901353965183797
UK,Retail,Retail Sales (Volume),Monthly,2022/8/1,-1.832208293
UK,Retail,Retail Sales (Volume),Monthly,2022/9/1,-1.178781925
UK,Retail,Retail Sales (Volume),Monthly,2022/10/1,0.6958250497017867
UK,Retail,Retail Sales (Volume),Monthly,2022/11/1,-0.888450148
UK,Retail,Retail Sales (Volume),Monthly,2022/12/1,-0.099601594
UK,Retail,Retail Sales (Volume),Monthly,2023/1/1,0.4985044865403798
UK,Retail,Retail Sales (Volume),Monthly,2023/2/1,0.4960317460317471
UK,Retail,Retail Sales (Volume),Monthly,2023/3/1,-1.283316881
UK,Retail,Retail Sales (Volume),Monthly,2023/4/1,1.4000000000000157
UK,Retail,Retail Sales (Volume),Monthly,2023/5/1,-0.690335306
UK,Retail,Retail Sales (Volume),Monthly,2023/6/1,0.7944389275074536
UK,Retail,Retail Sales (Volume),Monthly,2023/7/1,-1.674876847
UK,Retail,Retail Sales (Volume),Monthly,2023/8/1,0
UK,Retail,Retail Sales (Volume),Monthly,2023/9/1,-1.002004008
UK,Retail,Retail Sales (Volume),Monthly,2023/10/1,0.5060728744939282
UK,Retail,Retail Sales (Volume),Monthly,2023/11/1,1.4098690835851109
UK,Retail,Retail Sales (Volume),Monthly,2023/12/1,-3.972194638
UK,Retail,Retail Sales (Volume),Monthly,2024/1/1,3.8262668045501593
UK,Retail,Retail Sales (Volume),Monthly,2024/2/1,-0.199203187
UK,Retail,Retail Sales (Volume),Monthly,2024/3/1,-0.598802395
UK,Retail,Retail Sales (Volume),Monthly,2024/4/1,-1.40562249
UK,Retail,Retail Sales (Volume),Monthly,2024/5/1,3.1568228105906257
UK,Retail,Retail Sales (Volume),Monthly,2024/6/1,-1.875616979
UK,Retail,Retail Sales (Volume),Monthly,2024/7/1,0.5030181086519125
UK,Retail,Retail Sales (Volume),Monthly,2024/8/1,0.60060060060061
UK,Retail,Retail Sales (Volume),Monthly,2024/9/1,0
UK,Retail,Retail Sales (Volume),Monthly,2024/10/1,-0.895522388
UK,Retail,Retail Sales (Volume),Monthly,2024/11/1,-0.100401606
UK,Retail,Retail Sales (Volume),Monthly,2024/12/1,-0.301507538
