Region,Indicator Type,Indicator Name,Frequency,date,value
US,Price Level,CPI (All Urban Consumers),Monthly,2020/1/1,259.127
US,Price Level,CPI (All Urban Consumers),Monthly,2020/2/1,259.25
US,Price Level,CPI (All Urban Consumers),Monthly,2020/3/1,258.076
US,Price Level,CPI (All Urban Consumers),Monthly,2020/4/1,256.032
US,Price Level,CPI (All Urban Consumers),Monthly,2020/5/1,255.802
US,Price Level,CPI (All Urban Consumers),Monthly,2020/6/1,257.042
US,Price Level,CPI (All Urban Consumers),Monthly,2020/7/1,258.352
US,Price Level,CPI (All Urban Consumers),Monthly,2020/8/1,259.316
US,Price Level,CPI (All Urban Consumers),Monthly,2020/9/1,259.997
US,Price Level,CPI (All Urban Consumers),Monthly,2020/10/1,260.319
US,Price Level,CPI (All Urban Consumers),Monthly,2020/11/1,260.911
US,Price Level,CPI (All Urban Consumers),Monthly,2020/12/1,262.045
US,Price Level,CPI (All Urban Consumers),Monthly,2021/1/1,262.639
US,Price Level,CPI (All Urban Consumers),Monthly,2021/2/1,263.573
US,Price Level,CPI (All Urban Consumers),Monthly,2021/3/1,264.847
US,Price Level,CPI (All Urban Consumers),Monthly,2021/4/1,266.625
US,Price Level,CPI (All Urban Consumers),Monthly,2021/5/1,268.404
US,Price Level,CPI (All Urban Consumers),Monthly,2021/6/1,270.71
US,Price Level,CPI (All Urban Consumers),Monthly,2021/7/1,271.965
US,Price Level,CPI (All Urban Consumers),Monthly,2021/8/1,272.752
US,Price Level,CPI (All Urban Consumers),Monthly,2021/9/1,273.942
US,Price Level,CPI (All Urban Consumers),Monthly,2021/10/1,276.528
US,Price Level,CPI (All Urban Consumers),Monthly,2021/11/1,278.824
US,Price Level,CPI (All Urban Consumers),Monthly,2021/12/1,280.806
US,Price Level,CPI (All Urban Consumers),Monthly,2022/1/1,282.542
US,Price Level,CPI (All Urban Consumers),Monthly,2022/2/1,284.525
US,Price Level,CPI (All Urban Consumers),Monthly,2022/3/1,287.467
US,Price Level,CPI (All Urban Consumers),Monthly,2022/4/1,288.582
US,Price Level,CPI (All Urban Consumers),Monthly,2022/5/1,291.299
US,Price Level,CPI (All Urban Consumers),Monthly,2022/6/1,295.072
US,Price Level,CPI (All Urban Consumers),Monthly,2022/7/1,294.94
US,Price Level,CPI (All Urban Consumers),Monthly,2022/8/1,295.162
US,Price Level,CPI (All Urban Consumers),Monthly,2022/9/1,296.421
US,Price Level,CPI (All Urban Consumers),Monthly,2022/10/1,297.979
US,Price Level,CPI (All Urban Consumers),Monthly,2022/11/1,298.708
US,Price Level,CPI (All Urban Consumers),Monthly,2022/12/1,298.808
US,Price Level,CPI (All Urban Consumers),Monthly,2023/1/1,300.456
US,Price Level,CPI (All Urban Consumers),Monthly,2023/2/1,301.476
US,Price Level,CPI (All Urban Consumers),Monthly,2023/3/1,301.643
US,Price Level,CPI (All Urban Consumers),Monthly,2023/4/1,302.858
US,Price Level,CPI (All Urban Consumers),Monthly,2023/5/1,303.316
US,Price Level,CPI (All Urban Consumers),Monthly,2023/6/1,304.099
US,Price Level,CPI (All Urban Consumers),Monthly,2023/7/1,304.615
US,Price Level,CPI (All Urban Consumers),Monthly,2023/8/1,306.138
US,Price Level,CPI (All Urban Consumers),Monthly,2023/9/1,307.374
US,Price Level,CPI (All Urban Consumers),Monthly,2023/10/1,307.653
US,Price Level,CPI (All Urban Consumers),Monthly,2023/11/1,308.087
US,Price Level,CPI (All Urban Consumers),Monthly,2023/12/1,308.735
US,Price Level,CPI (All Urban Consumers),Monthly,2024/1/1,309.794
US,Price Level,CPI (All Urban Consumers),Monthly,2024/2/1,311.022
US,Price Level,CPI (All Urban Consumers),Monthly,2024/3/1,312.107
US,Price Level,CPI (All Urban Consumers),Monthly,2024/4/1,313.016
US,Price Level,CPI (All Urban Consumers),Monthly,2024/5/1,313.14
US,Price Level,CPI (All Urban Consumers),Monthly,2024/6/1,313.131
US,Price Level,CPI (All Urban Consumers),Monthly,2024/7/1,313.566
US,Price Level,CPI (All Urban Consumers),Monthly,2024/8/1,314.131
US,Price Level,CPI (All Urban Consumers),Monthly,2024/9/1,314.851
US,Price Level,CPI (All Urban Consumers),Monthly,2024/10/1,315.564
US,Price Level,CPI (All Urban Consumers),Monthly,2024/11/1,316.449
US,Price Level,CPI (All Urban Consumers),Monthly,2024/12/1,317.603
