Region,Indicator Type,Indicator Name,Frequency,date,value
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/1/1,101.5921
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/2/1,101.1732
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/3/1,100.1966
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/4/1,99.13439
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/5/1,98.6451
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/6/1,98.59637
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/7/1,98.6133
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/8/1,98.81078
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/9/1,99.11648
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/10/1,99.26201
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/11/1,99.21984
US,Consumer Confidence,Consumer Confidence Index,Monthly,2020/12/1,99.22284
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/1/1,99.2288
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/2/1,99.36539
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/3/1,99.72382
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/4/1,99.96289
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/5/1,99.90543
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/6/1,99.70004
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/7/1,99.24198
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/8/1,98.68501
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/9/1,98.3926
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/10/1,98.20995
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/11/1,98.05109
US,Consumer Confidence,Consumer Confidence Index,Monthly,2021/12/1,97.95181
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/1/1,97.72173
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/2/1,97.42072
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/3/1,97.18818
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/4/1,97.02539
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/5/1,96.62722
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/6/1,96.22865
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/7/1,96.20132
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/8/1,96.46188
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/9/1,96.67612
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/10/1,96.78831
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/11/1,96.854
US,Consumer Confidence,Consumer Confidence Index,Monthly,2022/12/1,97.06937
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/1/1,97.35186
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/2/1,97.46672
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/3/1,97.35742
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/4/1,97.26667
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/5/1,97.268
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/6/1,97.55695
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/7/1,97.89566
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/8/1,97.937
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/9/1,97.7463
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/10/1,97.51254
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/11/1,97.56221
US,Consumer Confidence,Consumer Confidence Index,Monthly,2023/12/1,98.1097
US,Consumer Confidence,Consumer Confidence Index,Monthly,2024/1/1,98.91297
