Region,Indicator Type,Indicator Name,Frequency,date,value
US,Real Estate,House Price Index,Quarterly,2020/1/1,133.7843
US,Real Estate,House Price Index,Quarterly,2020/4/1,135.599
US,Real Estate,House Price Index,Quarterly,2020/7/1,138.3964
US,Real Estate,House Price Index,Quarterly,2020/10/1,143.2785
US,Real Estate,House Price Index,Quarterly,2021/1/1,146.2313
US,Real Estate,House Price Index,Quarterly,2021/4/1,149.5961
US,Real Estate,House Price Index,Quarterly,2021/7/1,153.4833
US,Real Estate,House Price Index,Quarterly,2021/10/1,157.1718
US,Real Estate,House Price Index,Quarterly,2022/1/1,160.2324
US,Real Estate,House Price Index,Quarterly,2022/4/1,159.984
US,Real Estate,House Price Index,Quarterly,2022/7/1,156.9857
US,Real Estate,House Price Index,Quarterly,2022/10/1,157.0991
US,Real Estate,House Price Index,Quarterly,2023/1/1,157.1249
US,Real Estate,House Price Index,Quarterly,2023/4/1,157.1999
US,Real Estate,House Price Index,Quarterly,2023/7/1,158.8479
US,Real Estate,House Price Index,Quarterly,2023/10/1,160.7135
US,Real Estate,House Price Index,Quarterly,2024/1/1,160.5004
US,Real Estate,House Price Index,Quarterly,2024/4/1,159.5373
US,Real Estate,House Price Index,Quarterly,2024/7/1,160.424
US,Real Estate,House Price Index,Quarterly,2024/10/1,161.6651
