Region,Indicator Type,Indicator Name,Frequency,date,value
US,Foreign Trade,Imports,Quarterly,2020/1/1,10.9260110087696
US,Foreign Trade,Imports,Quarterly,2020/4/1,10.2191401929871
US,Foreign Trade,Imports,Quarterly,2020/7/1,11.0288973763422
US,Foreign Trade,Imports,Quarterly,2020/10/1,11.4837738442395
US,Foreign Trade,Imports,Quarterly,2021/1/1,11.8361862967051
US,Foreign Trade,Imports,Quarterly,2021/4/1,11.9314133963743
US,Foreign Trade,Imports,Quarterly,2021/7/1,11.8940921205459
US,Foreign Trade,Imports,Quarterly,2021/10/1,12.278226503992
US,Foreign Trade,Imports,Quarterly,2022/1/1,13.046101987781
US,Foreign Trade,Imports,Quarterly,2022/4/1,13.0891961575888
US,Foreign Trade,Imports,Quarterly,2022/7/1,12.4006030628084
US,Foreign Trade,Imports,Quarterly,2022/10/1,11.8816869099061
US,Foreign Trade,Imports,Quarterly,2023/1/1,11.6676756695231
US,Foreign Trade,Imports,Quarterly,2023/4/1,11.3242531910343
US,Foreign Trade,Imports,Quarterly,2023/7/1,11.1629036996859
