Region,Indicator Type,Indicator Name,Frequency,date,value
US,Industrial Production,Industrial Production Index,Monthly,2020/1/1,101.3372
US,Industrial Production,Industrial Production Index,Monthly,2020/2/1,101.6718
US,Industrial Production,Industrial Production Index,Monthly,2020/3/1,97.606
US,Industrial Production,Industrial Production Index,Monthly,2020/4/1,84.6812
US,Industrial Production,Industrial Production Index,Monthly,2020/5/1,86.0108
US,Industrial Production,Industrial Production Index,Monthly,2020/6/1,91.6745
US,Industrial Production,Industrial Production Index,Monthly,2020/7/1,95.0037
US,Industrial Production,Industrial Production Index,Monthly,2020/8/1,95.9294
US,Industrial Production,Industrial Production Index,Monthly,2020/9/1,95.8914
US,Industrial Production,Industrial Production Index,Monthly,2020/10/1,96.5256
US,Industrial Production,Industrial Production Index,Monthly,2020/11/1,96.9529
US,Industrial Production,Industrial Production Index,Monthly,2020/12/1,98.2039
US,Industrial Production,Industrial Production Index,Monthly,2021/1/1,98.8135
US,Industrial Production,Industrial Production Index,Monthly,2021/2/1,95.5072
US,Industrial Production,Industrial Production Index,Monthly,2021/3/1,98.1929
US,Industrial Production,Industrial Production Index,Monthly,2021/4/1,98.3317
US,Industrial Production,Industrial Production Index,Monthly,2021/5/1,99.1867
US,Industrial Production,Industrial Production Index,Monthly,2021/6/1,99.6483
US,Industrial Production,Industrial Production Index,Monthly,2021/7/1,100.0668
US,Industrial Production,Industrial Production Index,Monthly,2021/8/1,100.0412
US,Industrial Production,Industrial Production Index,Monthly,2021/9/1,98.9955
US,Industrial Production,Industrial Production Index,Monthly,2021/10/1,100.3542
US,Industrial Production,Industrial Production Index,Monthly,2021/11/1,101.2684
US,Industrial Production,Industrial Production Index,Monthly,2021/12/1,101.1948
US,Industrial Production,Industrial Production Index,Monthly,2022/1/1,101.2146
US,Industrial Production,Industrial Production Index,Monthly,2022/2/1,101.8458
US,Industrial Production,Industrial Production Index,Monthly,2022/3/1,102.6732
US,Industrial Production,Industrial Production Index,Monthly,2022/4/1,102.9024
US,Industrial Production,Industrial Production Index,Monthly,2022/5/1,102.9659
US,Industrial Production,Industrial Production Index,Monthly,2022/6/1,102.8224
US,Industrial Production,Industrial Production Index,Monthly,2022/7/1,103.0505
US,Industrial Production,Industrial Production Index,Monthly,2022/8/1,103.1703
US,Industrial Production,Industrial Production Index,Monthly,2022/9/1,103.5326
US,Industrial Production,Industrial Production Index,Monthly,2022/10/1,103.4442
US,Industrial Production,Industrial Production Index,Monthly,2022/11/1,103.1058
US,Industrial Production,Industrial Production Index,Monthly,2022/12/1,101.8266
US,Industrial Production,Industrial Production Index,Monthly,2023/1/1,102.7476
US,Industrial Production,Industrial Production Index,Monthly,2023/2/1,102.8003
US,Industrial Production,Industrial Production Index,Monthly,2023/3/1,102.8143
US,Industrial Production,Industrial Production Index,Monthly,2023/4/1,103.2241
US,Industrial Production,Industrial Production Index,Monthly,2023/5/1,102.9809
US,Industrial Production,Industrial Production Index,Monthly,2023/6/1,102.3809
US,Industrial Production,Industrial Production Index,Monthly,2023/7/1,103.0722
US,Industrial Production,Industrial Production Index,Monthly,2023/8/1,103.0951
US,Industrial Production,Industrial Production Index,Monthly,2023/9/1,103.3081
US,Industrial Production,Industrial Production Index,Monthly,2023/10/1,102.5781
US,Industrial Production,Industrial Production Index,Monthly,2023/11/1,102.8868
US,Industrial Production,Industrial Production Index,Monthly,2023/12/1,102.6309
US,Industrial Production,Industrial Production Index,Monthly,2024/1/1,101.483
US,Industrial Production,Industrial Production Index,Monthly,2024/2/1,102.7267
US,Industrial Production,Industrial Production Index,Monthly,2024/3/1,102.5186
US,Industrial Production,Industrial Production Index,Monthly,2024/4/1,102.3568
US,Industrial Production,Industrial Production Index,Monthly,2024/5/1,102.9797
US,Industrial Production,Industrial Production Index,Monthly,2024/6/1,103.2534
US,Industrial Production,Industrial Production Index,Monthly,2024/7/1,102.5192
US,Industrial Production,Industrial Production Index,Monthly,2024/8/1,103.0196
US,Industrial Production,Industrial Production Index,Monthly,2024/9/1,102.5954
US,Industrial Production,Industrial Production Index,Monthly,2024/10/1,102.2138
US,Industrial Production,Industrial Production Index,Monthly,2024/11/1,101.9503
US,Industrial Production,Industrial Production Index,Monthly,2024/12/1,103.0447
