Region,Indicator Type,Indicator Name,Frequency,date,value
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/1/1,-5.2
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/4/1,-28
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/7/1,34.9
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2020/10/1,4.6
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/1/1,5.7
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/4/1,7
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/7/1,3.3
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2021/10/1,7
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/1/1,-1
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/4/1,0.6
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/7/1,2.9
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2022/10/1,2.8
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/1/1,2.9
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/4/1,2.5
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/7/1,4.7
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2023/10/1,3.4
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/1/1,0.8
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/4/1,3.6
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/7/1,3.3
US,Economic Growth,Real GDP Growth Rate (Annualized),Quarterly,2024/10/1,1.9
