Region,Indicator Type,Indicator Name,Frequency,date,value
US,Economic Output,Real GDP (Billions USD),Quarterly,2020/1/1,20709.212
US,Economic Output,Real GDP (Billions USD),Quarterly,2020/4/1,19077.992
US,Economic Output,Real GDP (Billions USD),Quarterly,2020/7/1,20558.879
US,Economic Output,Real GDP (Billions USD),Quarterly,2020/10/1,20791.917
US,Economic Output,Real GDP (Billions USD),Quarterly,2021/1/1,21082.134
US,Economic Output,Real GDP (Billions USD),Quarterly,2021/4/1,21440.929
US,Economic Output,Real GDP (Billions USD),Quarterly,2021/7/1,21617.828
US,Economic Output,Real GDP (Billions USD),Quarterly,2021/10/1,21988.737
US,Economic Output,Real GDP (Billions USD),Quarterly,2022/1/1,21932.71
US,Economic Output,Real GDP (Billions USD),Quarterly,2022/4/1,21967.045
US,Economic Output,Real GDP (Billions USD),Quarterly,2022/7/1,22125.625
US,Economic Output,Real GDP (Billions USD),Quarterly,2022/10/1,22278.345
US,Economic Output,Real GDP (Billions USD),Quarterly,2023/1/1,22439.607
US,Economic Output,Real GDP (Billions USD),Quarterly,2023/4/1,22580.499
US,Economic Output,Real GDP (Billions USD),Quarterly,2023/7/1,22840.989
US,Economic Output,Real GDP (Billions USD),Quarterly,2023/10/1,23033.78
US,Economic Output,Real GDP (Billions USD),Quarterly,2024/1/1,23082.119
US,Economic Output,Real GDP (Billions USD),Quarterly,2024/4/1,23286.508
US,Economic Output,Real GDP (Billions USD),Quarterly,2024/7/1,23478.57
US,Economic Output,Real GDP (Billions USD),Quarterly,2024/10/1,23586.542
